Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
BE 8,RUQ 1694,5.78,0.09,1.5,64.74,3.93,5,212.9,1.63,131.2,LAH17A
C 40 [TRI],RUQ 670,4.87,0.13,1.46,39.62,3.56,5,189.1,1.35,144.9,LAH17A
CATIE 1000,RUQ 844,4.24,0.05,0.98,79.7,4.21,6,256.3,1.9,136.4,LAH17A
CC 137,RUQ 1637,5.2,0.1,1.32,49.9,3.86,5,289.8,1.74,171.9,LAH17A
CC 252,RUQ 1506,3.79,0.06,1.07,59.73,3.45,5,258.8,2.04,127.9,LAH17A
CC 41,RUQ 1428,3.69,0.06,1.0,61.09,3.43,4,199.9,1.25,163.4,LAH17A
CERRO AZUL 10,RUQ 936,4.79,0.08,1.21,58.26,3.68,4,250.9,1.78,142.2,LAH17A
CL 10 /27,RUQ 1597,5.14,0.09,1.34,54.45,3.64,6,348.4,2.45,143.1,LAH17A
CL 10 /5,RUQ 1540,5.96,0.13,1.31,54.68,4.83,6,170.5,1.01,177.4,LAH17A
CL 13 /4,RUQ 1622,5.25,0.11,1.43,54.45,3.67,3,223.1,1.71,131.3,LAH17A
CL 19 /10,RUQ 905,4.08,0.06,1.09,66.04,3.78,4,236.7,1.69,139.1,LAH17A
COCA 3348 /52 [CHA],RUQ 141,3.7,0.07,1.18,57.36,3.15,5,321.2,2.14,150.1,LAH17A
COCA 3370 /5 [CHA],RUQ 137,6.52,0.13,1.45,67.29,4.62,4,247.9,1.58,159.6,LAH17A
CRIOLLO 21 [CRI],RUQ 1682,6.77,0.11,1.62,64.14,4.21,4,282.8,2.12,133.9,LAH17A
CRIOLLO 22 [CRI],RUQ 767,4.35,0.07,1.17,64.77,3.68,4,181.4,1.09,167.2,LAH17A
CRU 101,RUQ 1627,4.41,0.06,0.92,65.24,4.44,4,201.0,1.2,173.7,LAH17A
CRU 104,RUQ 1585,3.96,0.06,0.94,69.07,4.53,4,300.6,2.02,147.5,LAH17A
CRU 12,RUQ 1528,3.8,0.07,1.13,53.05,3.34,4,292.3,2.09,142.0,LAH17A
CRU 124,RUQ 909,5.03,0.08,1.22,63.16,4.05,5,247.8,1.9,131.7,LAH17A
CRU 156 (MIS_TTOICGT_GU 175 /P),RUQ 880,2.06,0.04,0.63,57.69,3.32,4,178.3,1.28,142.6,LAH17A
CRU 269,RUQ 1632,4.77,0.07,1.09,70.54,4.6,4,280.3,1.96,143.4,LAH17A
CRU 70,RUQ 897,3.39,0.06,0.88,61.01,3.86,3,162.7,0.95,176.0,LAH17A
CRU 78,RUQ 1629,5.9,0.13,1.56,49.14,3.99,5,304.7,1.77,173.5,LAH17A
CRU 89,RUQ 1383,3.43,0.07,0.95,51.35,3.68,5,310.9,2.28,137.8,LAH17A
